pclass,sex,age,sibsp,parch,fare,embarked,survived
3,female,36.5,0,1,10.11,S,0
3,female,29.5,0,1,30.69,S,1
2,male,7.4,0,0,11.31,S,0
2,male,46.3,1,0,95.08,S,0
3,male,19.7,2,0,1.02,S,0
3,female,18.7,0,0,26.01,S,1
3,male,32.8,1,0,5.46,S,0
3,female,46.1,1,0,37.37,S,1
3,male,15.8,1,0,5.8,S,0
1,male,30.9,0,0,8.05,S,1
1,male,36.0,0,0,20.46,S,1
3,male,39.7,0,0,73.89,C,0
3,male,32.5,1,0,7.14,S,1
1,male,24.9,0,1,4.67,S,1
1,male,18.4,0,0,42.69,Q,1
3,female,31.2,0,1,20.83,S,1
1,male,15.0,0,0,72.84,S,1
1,male,0.4,0,0,4.76,S,1
3,female,36.1,1,0,31.15,C,1
3,female,42.7,0,0,7.95,Q,0
3,female,0.4,0,0,5.12,C,0
1,female,15.9,0,0,34.51,S,1
3,male,38.7,0,1,27.02,S,0
1,male,58.8,1,0,42.17,S,1
2,female,30.3,0,1,11.11,S,1
3,female,19.8,0,1,17.82,S,0
3,male,27.4,0,1,15.6,S,0
3,female,49.2,0,2,124.22,C,0
3,male,21.0,1,0,10.37,S,0
3,male,18.8,0,0,10.48,S,0
1,male,23.2,0,0,13.13,S,0
2,male,16.7,0,0,24.94,C,1
2,male,31.7,0,0,8.72,C,0
2,male,52.7,1,0,74.06,S,0
3,female,34.5,0,0,9.26,S,1
2,male,26.5,0,0,67.85,S,1
3,male,25.9,0,0,3.28,Q,0
3,female,8.1,1,0,32.06,S,1
3,female,42.4,0,0,71.25,S,1
3,female,28.9,0,0,5.54,S,0
3,female,27.5,0,0,103.57,S,1
3,female,74.7,0,0,18.09,C,1
1,male,34.2,0,0,87.41,S,1
3,male,19.5,0,0,33.89,S,0
2,male,24.0,1,1,10.77,S,1
1,male,46.1,0,0,6.26,S,0
3,male,31.6,1,0,10.86,Q,0
1,female,9.9,0,2,2.93,S,1
3,male,42.9,0,0,4.66,C,1
3,male,20.6,0,1,3.32,C,0
3,male,56.2,1,0,16.49,S,0
2,female,45.1,0,0,47.63,S,0
1,male,23.7,0,1,4.57,S,1
3,female,47.9,1,2,4.19,C,1
2,male,30.9,0,1,30.94,S,0
3,male,41.9,0,0,6.59,S,0
3,male,36.8,1,1,3.08,S,0
3,female,18.2,2,0,5.48,C,1
2,male,21.0,0,0,77.2,S,1
2,female,44.4,0,1,51.69,S,1
3,male,25.3,1,1,13.11,S,0
2,male,24.3,0,1,32.0,S,0
1,female,16.6,2,0,23.12,C,1
3,female,35.9,0,0,33.91,S,1
3,female,58.9,0,0,34.43,C,1
3,female,15.1,2,1,29.73,S,1
3,female,30.3,0,1,9.28,S,1
1,female,49.8,1,1,1.19,S,1
3,female,28.9,0,1,18.24,S,0
3,female,36.3,1,0,66.49,S,1
1,female,15.1,1,0,25.28,S,1
3,male,36.0,0,1,53.58,S,0
3,female,27.4,1,0,143.47,S,1
3,male,43.8,1,0,5.36,S,0
3,female,46.6,0,0,35.31,C,1
3,female,66.3,0,0,33.65,S,0
2,male,38.1,0,0,117.29,S,1
2,female,34.6,0,0,127.22,S,1
3,male,32.7,0,1,34.82,C,0
3,male,25.1,0,0,8.38,C,0
3,female,34.7,0,0,48.07,S,0
3,male,25.9,1,0,3.4,C,0
3,female,32.4,1,2,45.52,S,0
3,female,48.4,0,2,72.3,S,1
3,male,15.9,1,0,14.48,C,0
3,male,46.0,0,1,29.88,C,0
3,male,48.4,2,0,16.87,S,0
3,male,28.3,0,0,17.28,C,0
3,female,0.4,1,0,11.15,S,1
2,male,21.5,1,0,43.08,C,1
2,male,48.2,1,0,82.55,S,1
1,male,29.7,0,0,84.78,S,1
3,male,16.0,1,2,5.76,S,0
1,female,22.9,1,2,62.32,S,1
3,male,41.8,0,0,40.12,S,1
3,female,37.7,2,1,8.74,S,0
2,male,26.7,1,1,2.09,S,1
3,female,24.9,1,0,9.36,S,1
1,male,24.5,0,0,72.98,S,1
1,male,17.1,1,0,30.09,S,0
3,female,52.6,0,0,38.3,S,0
2,male,25.5,1,0,8.92,C,0
1,female,47.0,0,2,38.12,C,1
3,female,51.3,0,1,0.86,C,0
3,male,44.0,0,0,14.12,S,0
1,male,24.0,0,1,29.57,C,0
3,female,35.7,0,1,4.74,S,0
1,male,29.7,1,1,51.95,S,1
1,male,17.3,0,1,8.04,S,1
3,male,34.5,0,1,31.69,C,0
3,male,13.5,1,1,15.59,S,0
3,male,46.6,1,0,27.19,S,0
3,female,23.5,1,1,3.41,S,1
3,female,32.8,1,1,0.51,C,1
3,female,34.0,1,0,72.09,S,1
2,female,26.4,0,1,9.43,S,1
3,male,38.2,0,0,51.39,S,1
2,female,23.4,0,1,220.17,S,1
2,male,42.2,1,0,7.13,S,1
1,male,11.2,0,0,9.24,S,1
1,male,31.8,0,2,32.62,C,1
3,male,57.1,1,0,100.96,S,1
3,female,16.0,1,1,74.24,S,1
3,female,20.5,0,1,20.97,S,0
2,male,37.2,0,1,47.56,S,0
1,male,32.5,1,0,4.38,S,1
1,female,34.9,0,0,113.74,S,1
2,male,36.8,0,1,100.02,S,1
3,male,38.9,0,1,5.36,C,0
3,male,45.5,0,0,10.68,S,0
3,female,35.7,1,0,3.17,S,0
2,female,26.6,0,0,9.51,C,1
3,male,39.4,0,1,50.78,S,0
3,male,56.6,1,1,14.26,C,1
3,female,28.1,2,0,2.78,S,1
3,female,16.4,4,0,12.57,S,1
2,male,45.5,0,0,119.51,C,1
2,female,28.3,0,1,29.8,S,1
2,male,0.4,0,0,16.14,S,1
3,male,41.9,1,0,5.47,C,0
1,female,22.5,1,0,128.44,S,1
1,male,28.7,2,0,51.59,S,1
1,male,34.6,0,1,9.92,S,1
1,male,32.7,0,0,2.18,C,0
3,male,39.9,0,0,1.75,Q,0
3,female,23.9,0,1,3.85,S,0
3,male,37.2,0,0,26.08,S,0
1,female,26.4,1,0,79.25,C,1
3,male,40.3,0,0,20.6,S,0
3,male,38.6,1,0,55.53,S,0
1,male,16.9,0,0,17.71,S,1
2,female,45.2,1,1,36.99,C,0
2,male,22.5,1,1,39.49,C,1
3,female,41.3,1,0,5.73,S,1
3,male,35.1,0,0,13.45,S,1
1,female,55.7,1,0,30.43,S,1
2,male,26.9,0,1,2.2,S,0
3,female,25.1,0,0,13.46,S,1
3,female,29.7,2,0,22.96,C,0
3,female,25.8,1,1,167.38,S,1
3,female,41.2,0,1,19.3,C,1
1,female,7.4,0,0,50.79,S,1
1,male,15.2,2,0,16.97,S,0
3,male,15.1,0,0,47.75,S,0
1,male,43.3,0,0,27.15,S,1
3,female,53.9,3,0,65.3,S,1
3,male,28.5,1,2,15.88,Q,0
3,female,27.6,0,0,27.81,C,1
2,male,31.0,0,0,29.83,S,0
3,male,46.3,1,0,16.21,S,0
3,male,17.0,0,2,4.68,Q,0
3,female,33.3,1,0,2.95,S,1
3,male,43.7,0,0,0.5,S,0
2,male,37.0,1,0,62.03,S,1
3,male,32.7,1,0,8.09,Q,1
3,male,44.0,0,0,7.13,S,0
1,male,0.4,1,1,39.96,S,1
1,male,39.5,0,0,11.57,Q,1
1,female,20.8,1,1,21.16,S,1
1,male,4.4,1,0,5.32,S,1
1,male,37.2,0,0,96.38,S,1
3,male,49.2,0,0,57.23,C,0
1,male,28.1,1,0,59.81,S,1
2,male,43.3,1,1,15.67,Q,0
3,male,52.6,2,0,43.11,S,0
1,male,48.4,0,1,4.66,S,0
3,male,53.0,0,2,0.26,Q,0
2,female,40.4,0,1,0.61,S,1
1,female,31.1,0,1,26.5,S,1
3,female,7.6,0,2,18.23,S,0
3,male,26.6,1,0,21.9,S,0
3,male,18.2,0,2,0.22,S,0
3,male,60.4,0,1,16.48,S,0
3,male,27.5,0,0,37.98,S,0
2,female,31.7,0,0,17.54,C,1
1,male,37.7,0,0,39.53,S,0
3,male,30.6,0,1,7.96,Q,0
3,male,53.7,1,1,50.32,S,0
3,female,21.3,1,0,26.63,S,0
2,male,32.7,0,0,7.1,S,0
2,male,19.6,2,0,8.1,S,0
3,male,11.5,1,0,29.67,S,0
2,male,21.4,2,0,53.15,C,1
3,male,29.5,1,0,16.12,C,0
3,male,24.0,1,0,8.96,Q,0
2,male,20.3,1,0,60.52,S,0
3,male,10.3,0,0,33.19,C,0
3,male,28.8,0,2,17.83,S,0
1,male,8.9,4,0,20.08,S,1
3,male,40.6,0,0,6.85,C,0
3,female,31.2,0,1,29.57,S,1
3,female,9.6,0,0,13.33,S,0
2,male,25.7,0,0,163.09,S,0
3,male,19.5,0,0,19.63,S,0
2,male,34.5,0,0,19.96,C,0
1,male,48.8,0,1,25.03,S,0
3,female,3.7,0,0,74.58,Q,1
1,male,31.6,0,0,48.41,S,0
2,female,27.8,3,0,18.0,S,1
3,male,39.4,0,1,38.05,S,1
3,male,33.0,1,1,26.47,S,1
3,female,19.5,0,0,20.34,S,0
3,female,25.5,0,1,6.41,C,0
2,female,18.9,0,1,18.71,C,1
2,female,45.1,0,1,8.46,Q,1
2,male,30.3,0,0,73.9,C,0
3,female,56.6,1,2,12.26,C,0
3,male,29.2,0,2,91.26,S,0
3,female,20.1,1,0,22.85,C,0
3,male,8.8,0,0,29.95,S,0
1,female,4.8,1,0,23.49,S,1
3,male,7.8,0,0,4.16,S,0
1,male,33.7,0,0,14.14,S,1
3,male,37.1,0,0,3.13,S,0
2,female,7.9,0,1,29.26,Q,1
3,male,42.5,1,0,17.77,S,0
2,male,23.2,0,0,45.15,S,0
1,male,32.1,0,1,7.47,S,0
1,male,52.6,0,0,5.39,S,1
3,female,42.6,1,0,15.64,S,0
3,male,26.2,0,0,78.35,S,0
1,female,17.5,0,0,37.18,S,1
1,male,0.4,0,0,16.29,S,1
3,male,19.9,0,0,21.85,C,0
1,female,27.0,1,0,2.64,C,1
3,female,16.2,0,0,125.15,S,0
3,male,28.2,0,2,32.94,S,0
1,male,31.1,1,0,10.08,S,1
1,female,26.9,1,0,26.44,C,1
3,male,20.9,1,0,3.48,S,0
2,female,32.4,0,1,101.3,S,1
2,female,36.2,3,1,5.76,C,1
3,female,14.7,0,1,31.33,S,1
3,male,49.8,0,1,8.45,S,0
3,female,28.6,1,0,37.93,S,1
3,male,30.3,0,0,44.99,Q,1
2,male,39.9,1,0,33.57,C,0
1,male,33.3,1,3,28.6,S,1
3,male,43.3,0,1,66.9,S,0
3,female,34.0,0,0,2.46,S,0
2,female,21.4,1,0,12.06,Q,1
3,female,35.1,0,0,8.56,Q,1
1,male,14.0,1,0,132.72,S,1
3,male,31.5,0,0,14.8,C,0
1,male,29.5,0,0,39.57,S,0
3,female,27.1,0,1,34.63,S,0
1,male,28.2,1,0,7.15,S,0
1,female,3.7,0,0,8.19,S,1
1,male,22.3,0,0,9.91,Q,1
3,male,31.3,1,0,15.89,S,0
3,female,32.2,0,0,8.01,S,1
3,male,15.6,0,0,0.6,Q,0
3,female,47.7,0,1,63.46,C,0
2,female,17.9,0,1,101.1,S,1
2,male,43.6,0,0,12.54,S,1
3,male,36.0,1,1,12.4,S,1
1,male,21.0,2,0,0.21,S,1
3,female,54.9,0,1,34.21,Q,1
1,male,13.3,0,1,52.36,Q,0
3,male,42.9,1,1,4.76,S,1
1,male,44.0,0,0,5.22,S,0
3,female,20.6,0,0,46.83,S,0
3,male,49.5,2,0,28.74,C,0
3,female,26.5,1,0,1.38,S,0
1,female,34.0,0,0,29.23,S,1
3,male,33.6,1,0,11.08,S,0
3,male,28.1,0,0,13.8,S,0
3,female,41.4,0,0,44.06,S,1
3,male,41.1,2,1,49.97,S,0
3,female,5.5,1,0,15.34,Q,0
3,male,48.3,0,0,88.21,C,0
3,male,6.7,0,0,15.65,C,0
3,female,44.5,0,1,44.33,S,1
3,male,45.8,0,1,19.84,S,0
1,male,14.7,1,1,68.35,S,1
2,male,24.2,0,1,71.5,S,1
3,male,14.5,0,0,2.74,C,0
3,male,27.0,0,0,82.7,S,0
3,male,25.7,1,0,52.38,S,0
3,female,40.9,0,1,47.01,C,0
2,male,48.3,1,0,6.73,Q,1
1,female,49.5,0,1,49.06,S,1
3,male,22.1,0,2,56.94,S,0
2,female,27.1,0,1,10.24,S,1
3,male,6.4,2,0,91.26,S,0
1,female,18.7,1,0,1.53,S,1
3,male,43.5,0,0,4.87,S,0
3,male,52.6,0,2,23.14,Q,1
3,male,12.7,0,0,25.73,S,0
3,male,21.7,0,1,31.08,S,0
2,male,29.6,1,0,0.51,S,1
3,male,33.9,0,0,96.84,S,0
3,female,18.7,0,1,1.37,C,0
1,male,35.9,0,1,4.63,S,1
3,male,23.4,0,0,0.42,S,0
3,male,29.8,0,0,25.1,S,0
3,female,37.6,0,1,80.77,C,1
3,male,30.1,1,2,32.89,S,0
3,male,23.9,0,1,51.89,C,1
2,male,28.5,0,1,0.4,S,0
3,female,28.8,0,0,23.43,S,0
3,female,24.8,0,0,18.46,S,1
1,male,26.4,1,1,20.73,Q,0
1,female,52.4,1,1,2.25,Q,0
2,female,37.9,0,0,34.6,S,1
3,male,25.9,0,0,20.99,S,0
3,female,39.8,1,1,43.46,S,0
1,male,25.3,1,0,19.92,S,1
3,male,46.4,1,0,4.85,S,0
2,male,35.2,1,1,31.35,C,0
3,male,28.5,1,0,5.68,Q,0
3,male,36.3,0,2,61.76,S,0
3,female,8.0,0,0,28.49,S,0
3,male,14.2,1,0,5.13,C,0
2,male,13.3,1,1,98.37,C,1
2,male,32.0,0,1,21.92,S,0
1,female,54.3,0,0,2.27,S,1
3,male,61.2,2,0,29.57,S,1
3,male,38.9,0,0,8.76,S,0
3,male,37.0,1,0,48.84,S,0
3,male,4.8,0,0,51.08,S,0
3,female,22.4,3,1,115.82,S,0
3,female,19.0,0,0,20.91,S,0
3,male,21.3,0,1,18.21,S,1
3,female,27.6,1,0,42.01,S,0
2,male,23.4,1,1,4.26,C,0
3,female,2.3,2,1,23.75,C,0
1,male,40.5,0,1,23.71,S,0
3,male,15.0,0,0,2.81,S,0
3,male,33.3,0,0,16.24,Q,0
1,female,59.0,0,0,57.58,S,1
3,male,17.1,0,1,58.17,S,1
3,male,0.4,2,0,3.14,S,0
2,male,26.0,0,1,2.85,S,0
1,female,45.4,1,0,9.14,S,1
3,male,57.4,0,0,62.33,Q,0
3,female,12.8,0,1,4.14,S,0
3,female,37.0,0,1,38.19,S,0
3,male,23.5,0,1,3.2,Q,0
3,female,28.5,1,0,29.28,S,1
3,male,67.0,0,0,13.2,S,0
3,female,9.0,0,0,46.66,S,1
3,male,33.6,0,1,7.99,S,0
2,female,36.5,1,0,30.58,S,1
1,female,45.2,1,0,8.06,S,1
1,female,31.4,2,0,37.52,S,1
3,female,34.3,0,0,62.07,S,0
3,male,24.5,0,0,4.07,S,0
3,male,33.8,0,0,60.43,S,0
1,female,25.2,1,1,27.01,S,1
1,male,38.7,0,0,4.08,S,0
1,male,24.8,3,2,16.73,S,1
2,female,35.3,1,0,5.26,Q,1
3,female,29.6,0,0,36.15,S,1
2,female,45.8,0,0,42.67,S,1
2,male,29.3,0,1,3.35,C,0
3,female,5.2,0,0,21.17,S,1
2,male,47.7,1,0,50.56,S,1
3,female,17.3,1,0,82.54,C,1
3,male,20.8,0,0,21.62,C,1
2,female,21.7,0,0,90.04,S,1
3,female,49.2,0,0,23.02,S,1
3,male,0.4,0,0,15.04,S,0
3,female,73.9,0,2,56.56,C,1
1,male,44.8,0,1,20.38,S,0
3,female,33.1,0,0,19.15,S,1
3,female,29.2,0,0,20.22,C,0
2,male,34.0,1,0,56.28,S,0
3,female,37.3,1,0,53.5,C,1
3,female,39.0,2,0,15.5,S,0
3,male,37.8,1,0,12.16,S,1
2,male,31.3,0,0,20.31,S,0
3,female,27.2,0,0,25.51,C,1
2,female,27.9,0,0,8.17,S,1
1,female,27.3,2,1,47.39,S,1
1,female,45.9,0,0,19.99,S,1
1,male,38.3,0,0,12.2,S,1
1,female,0.4,0,0,3.39,Q,1
1,male,39.2,1,0,8.19,S,1
3,male,32.7,0,0,89.44,S,0
1,male,29.7,0,0,10.92,Q,0
2,male,24.6,1,0,5.55,S,0
3,male,45.7,1,2,18.52,S,0
3,male,43.3,0,0,11.01,S,0
3,female,19.2,0,1,1.07,C,1
1,male,35.7,0,0,11.71,S,1
1,male,16.4,0,0,23.57,S,1
1,male,10.7,3,1,24.07,S,1
1,male,21.2,1,0,13.23,S,1
2,male,42.1,0,1,17.79,S,0
1,male,43.3,0,0,101.02,S,1
1,male,37.2,0,1,14.21,S,1
1,female,40.2,1,0,8.96,S,1
3,male,37.2,0,0,8.37,S,0
1,male,21.0,1,0,18.36,C,0
2,male,36.0,0,0,42.75,C,1
3,female,41.2,0,0,6.92,C,1
3,male,40.6,2,0,37.06,S,0
1,male,46.6,0,1,0.64,S,0
3,male,39.9,0,0,16.29,S,0
3,male,34.9,1,0,44.87,Q,0
1,male,45.0,0,1,12.41,C,1
3,male,29.6,0,0,24.89,C,0
3,male,17.7,0,0,6.88,S,0
1,male,27.7,0,0,40.64,S,1
2,male,19.6,1,0,1.61,S,0
3,female,20.5,0,1,57.43,S,0
3,female,28.0,2,0,6.63,S,0
1,female,18.9,0,0,62.24,Q,1
1,female,25.7,0,1,13.04,S,1
2,male,3.5,1,0,38.48,S,0
3,male,33.0,2,0,11.54,S,0
3,male,30.0,0,0,70.91,Q,0
2,male,18.6,0,0,4.06,S,1
3,female,39.2,0,0,5.9,S,0
3,male,43.1,0,0,20.38,Q,0
1,female,7.5,2,0,2.56,S,1
2,male,19.3,1,0,6.54,S,0
3,female,19.2,0,0,86.35,S,1
3,male,16.8,0,0,112.51,S,0
3,male,41.6,1,3,14.16,C,0
3,male,27.3,1,0,77.03,C,0
1,male,26.3,0,1,23.61,S,0
2,male,1.9,0,0,9.43,S,0
3,male,38.9,0,0,36.36,S,0
2,female,12.7,2,0,32.27,S,1
2,male,30.8,0,1,135.64,S,0
2,male,33.9,0,0,9.24,S,0
1,male,49.0,0,1,33.45,S,1
2,female,11.7,0,0,1.6,C,1
1,male,0.4,0,1,3.62,S,0
2,male,32.6,1,0,0.12,S,1
1,male,55.2,0,0,225.76,S,1
3,male,47.3,0,0,48.63,C,0
3,female,32.9,0,1,46.35,S,1
3,male,23.1,0,0,21.38,S,1
3,male,41.3,1,0,10.7,S,0
3,female,16.4,0,0,4.92,C,1
1,male,36.7,0,1,10.05,S,1
3,male,37.1,1,0,14.15,C,0
3,male,44.8,0,0,42.36,Q,1
3,female,68.6,0,1,23.27,C,1
2,male,35.5,2,0,2.42,S,0
1,female,22.9,3,0,0.55,S,1
2,male,29.6,1,0,3.24,S,0
2,male,5.2,1,1,15.85,Q,0
3,male,20.3,1,1,81.18,S,0
3,female,24.3,1,1,30.43,S,0
2,male,22.7,0,0,48.56,S,0
3,female,32.1,1,0,18.84,S,0
3,female,18.5,1,0,13.47,S,1
1,male,45.7,0,2,3.44,S,1
1,male,30.0,1,0,62.61,S,1
1,male,29.9,1,0,45.86,C,1
2,male,25.4,0,1,5.52,S,0
1,female,32.2,0,0,21.54,S,1
1,female,41.6,0,0,20.05,S,1
2,male,17.9,0,0,29.43,S,0
1,male,20.8,0,0,87.67,C,1
3,female,25.7,0,0,26.01,S,1
1,male,11.2,0,0,23.31,S,1
3,female,18.5,2,1,1.55,S,0
2,male,23.3,1,0,1.95,Q,0
3,female,42.2,1,0,6.22,S,1
1,male,33.7,1,1,0.99,C,1
2,male,32.7,1,0,40.8,S,0
3,male,41.9,1,0,38.55,S,0
3,male,28.1,0,0,4.39,S,0
3,male,35.5,1,0,54.25,C,0
2,female,28.6,0,2,5.04,S,1
1,female,33.7,1,0,10.75,Q,1
3,male,21.8,1,1,8.59,S,0
3,male,0.4,0,1,13.97,S,0
3,male,28.1,0,2,8.82,S,0
3,male,49.9,0,1,20.14,C,0
2,male,43.0,0,1,15.7,S,0
3,male,43.5,0,0,129.31,C,0
1,male,47.3,0,1,1.73,Q,0
2,male,31.2,2,1,4.6,Q,0
2,male,32.8,0,1,1.63,S,0
3,male,21.4,0,0,29.49,S,0
