size_sqft,bedrooms,age_years,garage_spaces,price
986.0,1,83,2,154791.0
641.0,2,4,2,149669.0
3364.0,2,64,3,577476.0
1915.0,2,93,1,290585.0
2789.0,1,48,0,395688.0
4584.0,2,2,1,762499.0
1622.0,3,44,0,294931.0
2347.0,2,13,1,403161.0
3900.0,3,29,3,734823.0
1530.0,3,67,0,206688.0
846.0,3,17,0,157652.0
1804.0,1,61,1,258578.0
1225.0,4,36,3,244828.0
4684.0,3,24,1,758065.0
4137.0,1,47,1,633329.0
3350.0,4,64,0,575951.0
4422.0,5,52,0,731160.0
4117.0,1,78,3,637753.0
1340.0,2,72,3,325558.0
4517.0,4,14,0,767108.0
2927.0,4,48,3,567519.0
4133.0,2,87,2,649728.0
4532.0,2,67,3,722578.0
1931.0,3,11,1,342986.0
995.0,3,58,1,222948.0
1526.0,3,36,1,337394.0
2422.0,3,60,2,474595.0
4181.0,3,42,0,636494.0
4373.0,4,69,0,647905.0
531.0,1,38,1,104919.0
2798.0,2,55,2,419201.0
2378.0,4,62,1,420447.0
1499.0,4,45,2,307995.0
1039.0,3,87,3,218428.0
2019.0,3,10,0,295049.0
4743.0,2,61,2,776372.0
1954.0,3,76,1,309181.0
2835.0,3,97,3,461586.0
3664.0,2,24,1,506370.0
2136.0,2,70,2,364625.0
4873.0,3,51,2,853620.0
4831.0,1,3,3,862990.0
1633.0,2,58,2,282240.0
2738.0,2,71,1,412076.0
1854.0,2,19,2,362656.0
1782.0,2,92,3,296316.0
666.0,4,62,2,187952.0
3243.0,3,53,0,527938.0
2762.0,3,73,3,534616.0
732.0,4,97,2,168244.0
1754.0,3,56,2,323976.0
4587.0,1,89,1,657240.0
1578.0,3,40,2,286898.0
1152.0,3,2,1,235010.0
2703.0,4,5,2,523902.0
4935.0,3,4,0,810722.0
1589.0,2,4,2,292292.0
3525.0,2,53,3,651972.0
3927.0,3,46,0,602960.0
1569.0,3,86,3,311764.0
3777.0,3,48,1,590130.0
2155.0,3,8,3,366526.0
3345.0,5,98,2,604328.0
3351.0,3,19,2,610238.0
2911.0,2,60,2,478208.0
906.0,2,34,3,225955.0
4259.0,2,49,1,684807.0
1944.0,2,81,1,259150.0
1339.0,2,61,2,234528.0
683.0,2,16,2,198351.0
3159.0,2,87,2,472724.0
3549.0,2,2,2,620163.0
575.0,4,31,1,114999.0
2804.0,1,98,2,450656.0
1519.0,3,12,0,265815.0
3403.0,3,88,1,488038.0
1285.0,5,72,0,266640.0
3609.0,2,67,1,540845.0
2240.0,3,13,1,375239.0
4715.0,5,97,1,764810.0
1119.0,4,10,2,307286.0
2035.0,4,55,1,332245.0
1011.0,2,66,1,175445.0
4661.0,2,91,1,721533.0
4448.0,3,28,1,743997.0
1661.0,5,8,1,350404.0
3470.0,3,66,0,521478.0
4177.0,3,24,2,684797.0
2998.0,2,97,2,483845.0
2883.0,4,75,2,472850.0
1588.0,2,41,1,185110.0
919.0,2,8,1,201941.0
4537.0,3,78,3,788739.0
4552.0,3,39,1,662394.0
3349.0,2,24,1,515052.0
2026.0,2,4,0,350420.0
2071.0,3,10,1,437441.0
3767.0,2,58,1,591644.0
4537.0,3,97,1,680209.0
4492.0,2,87,2,704796.0
4009.0,3,78,1,673662.0
3389.0,3,37,2,565492.0
879.0,1,71,2,137319.0
1227.0,2,4,2,247617.0
4543.0,2,47,2,709424.0
3229.0,1,89,3,533520.0
541.0,5,17,0,196448.0
957.0,2,69,1,173686.0
3486.0,4,36,0,557293.0
523.0,2,59,2,120162.0
1224.0,3,47,3,233150.0
2969.0,4,76,1,518889.0
3614.0,3,27,3,646194.0
3434.0,3,68,0,520659.0
1509.0,3,76,3,404175.0
3705.0,2,80,1,579684.0
1568.0,5,39,0,268089.0
1964.0,4,44,1,344854.0
3859.0,5,95,1,665835.0
3423.0,2,61,1,541400.0
4322.0,4,92,1,644077.0
3459.0,5,57,2,642966.0
3057.0,2,66,1,460564.0
922.0,1,55,1,206929.0
2155.0,4,39,2,446110.0
1693.0,3,97,2,287092.0
1598.0,4,39,1,343624.0
4879.0,2,90,1,743818.0
2269.0,4,76,0,387924.0
4514.0,2,32,1,730673.0
3340.0,2,5,2,553128.0
4077.0,2,87,1,603691.0
2762.0,4,18,1,521179.0
3096.0,3,79,2,509867.0
2716.0,3,39,0,420840.0
1379.0,3,91,2,227635.0
3751.0,4,96,1,612363.0
1763.0,3,58,3,417397.0
609.0,4,58,1,115387.0
3405.0,3,47,2,582920.0
1297.0,3,40,2,311916.0
4732.0,3,12,0,746420.0
4793.0,2,44,2,790473.0
4617.0,4,88,3,751662.0
2166.0,3,52,2,406706.0
570.0,2,41,2,139319.0
4677.0,4,99,3,816687.0
2427.0,3,62,1,438646.0
4850.0,3,26,1,862179.0
4836.0,5,37,2,849332.0
4339.0,3,59,1,701055.0
1825.0,2,6,2,356585.0
2233.0,5,4,3,472346.0
4330.0,3,44,1,707672.0
1926.0,2,57,1,306560.0
1263.0,2,30,2,259461.0
3006.0,4,22,1,564369.0
4713.0,3,41,2,751208.0
3632.0,3,9,1,644516.0
3065.0,4,31,2,593805.0
937.0,4,52,0,171052.0
3268.0,2,29,2,491974.0
4955.0,2,38,1,761052.0
1130.0,2,30,2,273467.0
2832.0,4,81,1,468686.0
4448.0,1,99,2,652748.0
3833.0,3,1,3,679376.0
3637.0,4,77,1,617204.0
3661.0,4,76,0,587579.0
2118.0,2,92,0,294489.0
1821.0,4,11,2,366670.0
4142.0,2,38,2,670566.0
4146.0,4,65,1,646654.0
4402.0,2,95,1,716235.0
4610.0,3,12,1,745768.0
2801.0,4,45,2,544171.0
2757.0,2,26,1,501163.0
4092.0,2,16,3,740799.0
3425.0,4,94,0,513777.0
3659.0,4,97,2,622440.0
4081.0,3,59,1,651934.0
4505.0,3,63,1,687143.0
2021.0,3,87,2,364378.0
2190.0,2,34,2,356147.0
923.0,2,69,3,244568.0
3102.0,2,82,0,440401.0
662.0,5,29,0,165796.0
2595.0,3,70,2,457777.0
2942.0,3,73,2,492018.0
1789.0,3,95,1,308516.0
3159.0,5,97,0,486065.0
637.0,2,62,0,120727.0
668.0,3,27,3,166331.0
4202.0,3,59,1,674547.0
2121.0,3,78,1,407297.0
1072.0,1,93,1,124256.0
2850.0,4,36,1,474182.0
3965.0,5,92,0,639163.0
1471.0,3,21,1,285567.0
3303.0,3,67,0,517470.0
884.0,5,19,2,262785.0
733.0,4,95,1,166427.0
2891.0,2,99,1,472455.0
2933.0,3,67,3,538723.0
3368.0,3,90,2,548027.0
3767.0,3,63,1,623789.0
4891.0,4,16,1,867697.0
2823.0,5,11,1,514024.0
1953.0,5,21,2,378260.0
4078.0,3,16,3,756963.0
1719.0,2,9,2,329700.0
2475.0,5,64,2,399126.0
853.0,4,21,2,252881.0
614.0,2,89,1,86552.0
4832.0,5,81,0,756572.0
4262.0,4,49,2,734746.0
3632.0,3,13,3,663998.0
2340.0,3,63,1,410827.0
1280.0,3,46,2,250909.0
1204.0,1,28,1,221988.0
1626.0,2,75,1,253628.0
2972.0,4,35,0,510392.0
3716.0,1,98,1,566813.0
3471.0,2,51,2,547070.0
1760.0,3,75,1,329035.0
4797.0,3,6,2,795455.0
3821.0,5,28,2,708322.0
2995.0,2,10,3,560208.0
3253.0,2,32,1,582057.0
2388.0,4,5,1,434026.0
1615.0,3,78,1,262739.0
2102.0,2,31,3,404199.0
3910.0,3,50,3,672451.0
565.0,2,74,1,126714.0
1022.0,2,57,2,156360.0
707.0,3,86,1,101441.0
683.0,3,25,2,152958.0
4350.0,5,97,0,707445.0
3666.0,3,45,2,673787.0
2634.0,3,97,0,388434.0
940.0,3,28,2,216973.0
2712.0,1,3,2,472442.0
2631.0,3,80,2,484450.0
1279.0,2,98,0,145091.0
2452.0,5,12,1,469001.0
2293.0,2,38,1,409247.0
3271.0,3,14,1,568732.0
3358.0,1,28,0,510376.0
704.0,5,28,3,271612.0
2186.0,3,74,2,304767.0
3316.0,3,31,1,572292.0
2764.0,1,1,1,434495.0
4354.0,4,46,1,660212.0
3464.0,2,77,2,576454.0
1233.0,4,83,1,269690.0
818.0,2,21,3,213010.0
3391.0,2,74,1,555219.0
619.0,1,26,3,218263.0
3136.0,3,66,3,596846.0
4731.0,3,80,1,788854.0
3090.0,1,55,3,548209.0
2247.0,4,91,0,353778.0
3395.0,3,92,2,510161.0
2562.0,3,20,1,436939.0
2955.0,3,46,3,514994.0
4737.0,3,79,3,856117.0
2237.0,3,58,2,396343.0
4825.0,2,83,2,766000.0
4574.0,2,5,1,755156.0
1381.0,4,18,0,259467.0
812.0,5,56,1,244670.0
954.0,3,68,1,160346.0
582.0,2,2,2,172138.0
925.0,3,0,1,186475.0
3574.0,3,57,3,587929.0
820.0,1,37,2,151199.0
1935.0,2,14,2,362197.0
4302.0,4,33,0,675912.0
605.0,3,60,3,159936.0
4165.0,1,34,3,655577.0
1768.0,2,63,1,286259.0
1032.0,2,24,2,177620.0
3635.0,3,23,2,651599.0
3330.0,1,11,1,536510.0
4449.0,2,17,1,670067.0
3808.0,4,14,1,639897.0
4116.0,2,79,0,585285.0
1769.0,3,26,1,331949.0
1298.0,2,71,0,229485.0
3878.0,1,59,0,510910.0
4131.0,2,45,0,630564.0
4957.0,4,88,3,829787.0
2357.0,4,16,1,450657.0
2174.0,4,92,3,421508.0
3994.0,3,52,1,620520.0
2034.0,3,7,1,361971.0
4688.0,2,78,1,695380.0
4363.0,2,26,1,728709.0
2430.0,4,45,0,402710.0
3879.0,1,49,2,679374.0
3895.0,1,70,1,587497.0
964.0,2,2,2,202356.0
4561.0,1,92,2,657812.0
2774.0,2,63,1,385451.0
4219.0,3,43,0,608835.0
1940.0,3,52,2,368047.0
4530.0,4,23,1,768240.0
2251.0,4,59,0,320775.0
549.0,2,2,3,213167.0
4574.0,2,19,0,692141.0
911.0,3,45,2,213522.0
1937.0,3,14,3,451903.0
4775.0,2,24,1,786197.0
4778.0,3,93,0,707104.0
3080.0,3,77,0,441835.0
3343.0,3,70,1,471936.0
2518.0,3,16,0,393126.0
1819.0,2,83,2,305083.0
1979.0,5,99,0,292733.0
3526.0,4,8,1,606012.0
3886.0,2,37,3,671658.0
4062.0,4,47,2,689070.0
4053.0,3,59,2,653992.0
910.0,4,62,1,195624.0
2725.0,4,85,2,489492.0
759.0,3,1,1,150640.0
2973.0,1,87,1,484760.0
2487.0,2,71,0,364575.0
4495.0,3,10,3,789766.0
2079.0,3,63,1,371614.0
1027.0,2,76,1,178017.0
1143.0,2,80,1,215113.0
3927.0,4,71,1,647133.0
3282.0,5,20,2,588924.0
955.0,3,17,2,240603.0
878.0,2,93,2,130960.0
3654.0,2,63,0,549911.0
827.0,1,81,1,122618.0
4198.0,5,94,1,676512.0
3678.0,2,37,0,559357.0
866.0,3,31,1,127955.0
882.0,2,10,2,190804.0
4940.0,3,44,0,766767.0
2184.0,3,88,1,358428.0
2168.0,4,32,1,363353.0
4158.0,2,40,0,671611.0
4763.0,1,7,1,724908.0
4937.0,2,10,3,869634.0
3890.0,5,85,2,678846.0
2193.0,4,50,3,419588.0
876.0,3,87,1,211122.0
3997.0,3,40,0,588765.0
3013.0,3,16,1,541497.0
2409.0,2,75,1,408867.0
4579.0,5,45,2,769171.0
1000.0,3,31,0,221332.0
2717.0,3,78,1,431021.0
551.0,3,79,1,121825.0
2609.0,1,53,1,412656.0
753.0,2,85,2,146475.0
1035.0,4,91,1,219026.0
1029.0,1,19,1,208635.0
3421.0,3,32,1,514761.0
3857.0,2,73,1,636211.0
3125.0,3,39,2,494399.0
4830.0,2,31,3,844943.0
2187.0,3,96,3,433839.0
1786.0,4,1,2,344627.0
4409.0,2,96,1,655980.0
1506.0,3,32,2,271756.0
4835.0,3,76,1,750728.0
555.0,3,29,1,129463.0
4864.0,5,32,2,862058.0
694.0,4,76,0,165442.0
4510.0,2,25,3,810892.0
2875.0,1,21,1,443833.0
4968.0,2,65,2,786475.0
832.0,3,37,2,150810.0
2992.0,1,89,3,470176.0
4862.0,3,45,2,830725.0
2854.0,3,14,2,564559.0
3332.0,2,97,0,444314.0
3631.0,4,43,1,590356.0
2545.0,2,48,1,412023.0
3324.0,1,74,2,535007.0
3129.0,4,60,1,500124.0
4555.0,3,66,2,758003.0
705.0,3,5,0,133961.0
1764.0,3,8,0,305217.0
4777.0,2,5,2,810416.0
4506.0,4,72,0,700121.0
2550.0,4,94,0,382477.0
3291.0,3,31,0,519801.0
1748.0,2,40,3,344581.0
1347.0,3,75,2,248381.0
2587.0,3,7,1,446733.0
2090.0,1,71,1,365972.0
3126.0,5,49,1,561295.0
850.0,2,91,2,153106.0
4885.0,5,61,2,848125.0
4938.0,3,83,1,759178.0
