edad,ingreso_anual,horas_estudio_semana,cursos_completados,proyectos_practicos,puntuacion_prueba,puntaje_final
19,65220,52.7,13,11,63.4,96
37,7837,11.8,2,16,7.2,48
20,49355,56.8,11,9,90.9,100
36,47299,12.3,3,2,95.8,48
35,19159,36.8,11,19,7.8,85
46,51012,13.4,12,17,53.2,83
39,59305,32.7,1,12,30.3,69
35,87096,41.0,1,11,39.3,60
31,17106,11.4,14,16,18.0,64
47,58123,31.3,22,3,57.8,78
41,8720,28.1,28,9,95.8,100
25,37661,4.3,16,10,50.3,69
46,93898,49.1,6,5,8.3,56
47,93794,20.1,29,5,62.0,95
29,87318,34.5,27,8,34.0,82
38,21120,30.9,13,14,85.6,92
27,19790,30.8,11,1,43.5,53
40,58655,6.4,29,3,19.3,55
37,59643,25.4,16,4,19.1,47
34,93448,27.1,13,16,76.9,100
28,47374,44.0,5,7,26.6,51
19,42907,50.4,18,7,76.7,96
43,50071,32.7,23,11,20.6,87
43,34812,5.2,5,7,32.2,44
21,49570,14.2,26,18,46.5,97
18,50901,9.9,17,2,94.3,66
32,60186,7.5,23,17,93.2,100
30,50251,22.0,4,18,20.7,73
25,65171,13.8,23,18,35.8,93
42,36160,13.1,23,14,14.9,89
21,19156,3.3,5,5,51.0,32
27,76208,1.1,1,15,46.1,41
36,79980,6.2,7,7,90.1,54
35,72320,10.3,14,15,93.0,91
22,17929,25.9,14,17,38.4,95
47,66606,30.6,10,19,49.2,89
36,88442,8.4,21,15,89.6,94
43,62559,25.5,21,10,80.7,100
40,54205,20.5,23,6,0.4,55
44,68475,11.0,0,16,32.0,55
39,64341,0.4,17,16,42.2,77
33,95377,28.0,11,11,23.0,68
18,42863,41.1,11,12,20.0,73
29,81837,13.6,24,9,3.8,63
41,65439,7.9,10,6,64.3,55
19,7194,53.2,27,13,26.3,100
38,71387,16.5,7,0,5.2,15
42,81914,13.4,27,16,23.1,100
25,66214,51.4,6,3,80.2,73
35,96176,49.0,22,4,85.1,100
42,99292,26.9,20,19,48.3,100
33,29777,29.4,1,6,41.6,40
22,26183,13.1,10,9,97.8,75
43,27445,4.7,21,16,20.1,75
47,67038,34.4,9,6,21.5,47
39,87201,5.9,2,0,29.2,13
30,16198,27.0,19,6,17.3,69
36,21411,56.4,28,10,37.9,100
46,50577,57.2,9,8,91.1,88
20,15867,14.4,27,11,61.5,92
43,62501,37.4,26,2,41.2,78
25,14266,28.4,17,3,93.4,69
44,39422,52.5,13,3,4.8,63
43,35208,16.3,17,12,21.0,70
43,31213,0.2,27,18,56.6,95
48,7367,9.8,23,9,61.6,74
29,79026,21.0,7,4,4.0,39
19,35362,18.9,9,6,40.3,50
28,51588,47.5,21,15,64.9,100
29,38285,40.8,12,0,69.8,71
45,74755,18.0,20,11,63.8,92
35,71846,27.5,7,1,32.1,36
30,36307,5.7,3,6,9.4,13
22,95167,53.9,26,10,42.7,100
39,80280,56.1,3,12,12.9,82
29,19867,58.8,4,1,94.8,72
19,56523,52.1,0,6,47.5,50
48,84161,10.4,16,14,31.7,71
22,6378,2.8,1,10,76.6,50
24,84685,34.8,29,1,49.8,76
43,76958,54.8,7,6,31.0,54
43,27926,10.6,6,3,81.2,46
41,98707,0.4,14,10,86.7,68
29,13180,48.3,25,1,67.3,98
33,92837,4.6,24,15,4.7,78
40,36931,24.8,4,6,56.6,55
25,24014,40.7,1,12,76.3,78
47,96472,14.2,6,4,13.7,32
45,79872,5.0,7,16,22.9,52
26,58502,46.2,27,11,88.2,100
49,87736,37.8,6,18,2.0,82
32,5470,59.3,29,6,75.3,100
22,96395,20.7,6,5,47.4,46
30,14953,3.7,27,7,44.7,76
22,38507,44.1,13,12,0.7,78
28,92969,31.3,20,4,81.9,93
27,91493,12.8,17,1,36.0,47
37,6523,46.9,5,8,54.1,66
30,86923,12.2,3,10,67.7,56
26,57190,15.6,9,5,70.3,59
38,47761,5.6,17,6,95.6,77
31,31169,24.0,11,6,53.1,53
35,45641,25.1,15,18,40.0,95
32,22990,30.9,24,5,95.4,91
27,29661,42.5,6,10,64.2,75
41,13419,54.4,5,10,29.8,78
48,14457,8.3,27,6,12.6,67
24,67600,3.3,4,1,84.3,32
25,76102,1.1,2,18,36.2,58
45,33085,8.6,11,3,66.0,46
49,97064,39.5,14,5,47.1,85
20,50654,43.6,9,16,19.9,87
48,6130,47.2,25,4,60.2,89
32,2042,14.6,19,6,6.1,60
33,70134,18.4,18,8,41.3,77
21,42982,29.0,15,0,54.7,65
38,98422,3.8,27,0,43.6,66
23,65185,36.7,10,18,74.9,100
18,33477,59.0,7,5,82.8,81
21,52709,21.6,2,17,77.1,80
28,28716,45.2,22,9,3.9,82
29,78137,30.0,6,10,19.4,55
43,36018,7.7,22,0,53.7,59
46,8061,34.9,28,0,93.5,91
22,8609,18.0,6,12,83.5,79
40,35371,2.1,13,4,84.3,59
46,83021,38.1,1,19,30.3,75
38,20805,51.5,9,0,42.9,48
33,7857,20.7,18,19,47.1,94
30,11620,23.4,25,2,15.7,59
30,8177,53.5,8,17,3.1,88
34,30111,48.8,15,8,94.7,96
44,88578,42.9,18,13,24.1,95
24,84181,14.9,17,16,24.0,79
25,89941,54.6,8,13,8.3,81
30,11826,9.3,15,3,92.9,64
40,13890,37.6,12,4,58.0,76
44,82428,1.7,9,16,66.7,69
33,58031,38.6,24,1,91.2,100
47,75020,16.6,19,4,34.6,55
46,5495,27.0,13,3,62.2,55
48,28481,20.7,11,3,3.9,36
21,11267,10.4,24,5,18.7,76
25,6743,37.3,18,19,83.1,100
33,54800,52.9,6,12,76.7,96
48,48773,57.5,22,4,35.1,92
38,57042,11.5,14,6,37.7,50
27,49476,43.0,15,19,53.4,100
42,92105,39.9,26,0,0.0,62
29,28552,20.6,7,13,24.1,71
29,65242,1.1,9,3,20.8,27
43,45772,41.4,3,16,25.0,74
22,43730,56.7,18,13,80.6,100
49,28948,37.9,18,15,28.0,96
33,76311,26.1,27,13,19.2,95
18,69093,31.5,20,15,50.4,95
45,69123,12.0,26,19,86.6,100
26,16535,45.0,14,7,24.1,73
29,66490,44.8,13,2,7.9,58
22,46562,8.7,0,18,35.6,66
39,89080,52.7,15,0,74.8,77
37,58535,16.2,9,1,55.1,37
39,98991,58.9,18,14,81.7,100
45,41269,23.0,29,9,96.0,100
41,80674,10.7,21,17,79.3,100
20,42462,21.1,2,13,60.4,75
22,3127,26.4,4,16,49.3,79
19,23147,4.2,8,12,4.0,49
31,45528,34.7,17,0,98.4,80
19,77095,35.9,10,4,38.3,51
30,68931,44.3,15,12,15.2,85
24,90925,1.8,1,13,66.7,48
27,66381,32.5,11,2,28.4,48
30,99468,3.2,21,14,58.6,89
33,63749,42.1,5,18,58.7,90
43,38672,3.3,10,16,44.6,73
31,13731,54.7,26,2,83.6,94
28,54512,42.1,7,15,26.5,86
27,98658,30.4,11,13,44.9,77
23,51024,26.5,28,11,53.8,96
21,3832,7.8,26,11,66.4,83
38,32332,17.5,29,10,78.4,99
18,12467,52.1,1,16,39.5,75
24,41025,54.3,8,7,64.6,78
41,13107,0.0,14,16,15.1,71
26,77994,35.6,1,19,93.3,97
25,94202,43.2,28,10,38.3,98
22,43481,37.1,0,1,73.0,47
49,2581,4.9,9,9,2.0,40
36,75118,13.1,1,9,20.5,47
27,51638,15.0,11,10,48.7,69
28,8418,49.9,22,5,87.8,100
42,93627,27.8,7,3,52.7,55
32,29113,29.2,4,11,93.0,78
23,84363,56.1,21,10,48.4,100
32,63044,38.2,27,12,49.0,100
22,79955,53.9,0,4,12.0,37
46,61030,27.4,14,5,80.3,78
36,11814,9.0,5,0,24.7,19
39,99340,55.8,11,5,90.0,88
36,10024,27.5,7,17,91.1,94
27,63288,10.9,12,8,94.3,73
29,57836,18.1,18,14,52.0,88
39,7435,3.0,26,7,67.7,76
21,67084,28.1,0,18,77.9,81
48,70601,51.2,10,15,13.1,77
35,88416,56.0,19,5,60.1,89
33,3407,56.0,0,5,3.4,44
25,98943,7.5,29,2,49.8,68
21,32940,22.9,7,9,15.5,61
42,5666,1.7,4,0,18.3,9
40,37122,51.3,16,13,36.5,93
29,25092,21.5,29,3,43.2,73
19,75645,37.9,7,11,62.3,80
21,26505,42.9,24,5,7.4,79
22,36713,25.8,9,10,50.4,72
20,54387,18.4,1,11,18.3,49
26,43169,57.7,8,9,57.4,91
46,73282,57.9,23,17,63.7,100
38,77511,17.4,22,6,55.7,85
35,51742,28.8,2,6,73.8,55
28,40522,58.4,17,10,33.6,96
20,81132,0.3,6,3,76.5,46
47,99397,24.8,14,19,43.3,99
48,3880,6.0,20,0,48.4,36
42,43454,30.5,21,12,64.8,99
40,55711,1.5,19,17,1.8,76
19,43539,24.4,17,8,65.4,73
26,68321,13.2,24,8,61.9,86
31,87985,32.0,2,8,31.0,53
21,14799,59.8,27,9,8.6,100
46,60102,48.0,29,1,9.1,74
26,50726,50.7,22,5,92.3,100
48,48784,38.1,13,14,68.9,98
30,43333,2.5,23,2,12.7,53
35,40828,12.4,1,10,35.7,58
32,69526,55.5,13,5,59.2,90
45,54362,22.0,21,2,83.6,77
27,53997,6.2,10,10,4.4,56
33,50341,42.1,15,14,23.7,92
29,19073,18.0,7,12,89.0,73
37,14549,16.1,6,19,0.9,66
22,83795,59.9,10,9,20.1,83
19,56920,51.5,2,5,95.9,79
27,85326,24.5,16,14,61.3,86
18,75515,58.8,13,17,26.2,99
24,20316,39.0,5,17,6.7,73
49,26183,44.5,7,6,2.8,55
43,93860,1.9,21,14,24.5,78
34,24624,7.3,4,17,88.1,80
33,62515,38.0,26,17,41.6,100
44,85781,53.9,27,19,72.0,100
44,46705,37.4,7,8,91.8,75
41,89326,8.0,1,1,40.8,27
20,26756,6.9,14,7,19.1,52
31,60390,50.7,11,19,51.7,100
27,68369,8.4,16,1,90.8,56
39,70821,31.2,0,10,80.4,67
24,9589,2.2,14,6,6.6,39
43,14116,4.8,13,5,69.3,53
34,73181,40.3,19,9,57.2,93
47,44786,41.4,21,4,90.7,100
23,94686,20.5,15,10,12.2,56
40,76425,12.9,28,0,53.4,62
39,30286,48.8,8,1,87.9,66
21,15994,13.0,0,0,41.0,19
34,90198,32.5,27,18,48.2,100
44,26639,58.1,16,1,7.0,67
26,17205,8.9,28,19,27.8,100
21,56677,56.5,12,3,32.5,70
24,32930,11.0,20,11,94.5,94
40,73313,34.0,25,19,28.3,100
19,93851,22.6,20,17,46.1,100
34,92509,57.9,4,0,67.1,60
41,18316,16.4,9,0,16.2,36
25,27304,24.0,5,13,48.6,81
40,96058,59.0,23,3,73.9,100
47,87876,32.2,18,4,86.7,83
48,85366,30.2,24,10,62.6,100
32,13403,15.5,12,12,66.9,71
48,80052,42.1,0,15,12.6,67
32,84627,0.9,19,12,94.6,83
25,73495,3.0,24,1,13.3,46
33,31932,36.0,14,15,77.5,99
36,96090,20.5,13,5,26.5,50
28,36701,57.2,7,13,93.4,95
19,3385,54.2,9,0,72.0,61
40,99226,42.8,8,16,75.4,100
41,57241,49.1,16,10,21.9,80
34,10367,40.0,8,18,44.3,99
45,65030,7.5,2,2,61.8,26
43,46505,45.9,10,10,77.0,92
33,33332,12.6,11,4,10.4,33
42,85178,19.4,9,16,96.2,95
32,76325,49.2,24,6,89.0,99
30,35268,32.2,16,9,27.0,71
32,86486,51.6,16,10,82.3,100
44,25563,12.8,24,2,51.8,68
21,36404,36.5,10,19,46.2,100
33,55182,5.0,29,9,31.4,72
49,32991,38.6,21,9,58.1,93
47,47663,45.8,3,13,73.0,82
29,65886,35.1,6,11,41.1,74
47,83848,16.0,20,14,62.9,99
21,24127,1.9,25,9,69.9,74
20,57692,7.2,13,9,71.1,71
39,94389,37.3,6,18,5.2,73
34,37500,56.1,23,0,86.0,92
39,33785,12.4,7,9,45.8,54
35,84146,44.1,0,1,26.2,45
42,89126,52.0,23,16,24.2,100
35,94979,31.3,21,6,48.3,83
40,47997,40.2,3,6,88.7,64
45,7170,48.9,28,19,37.8,100
34,13303,15.6,29,8,75.0,95
29,71743,17.8,11,1,9.7,32
40,77852,0.0,23,13,47.6,67
38,35187,57.8,2,16,99.2,100
41,65034,55.1,12,0,77.0,63
21,71776,45.9,19,8,21.1,81
48,1893,4.7,5,19,50.1,79
29,13753,26.9,10,18,23.4,94
48,38090,6.1,22,3,41.0,54
43,64922,1.0,3,7,78.0,38
40,76768,37.0,19,12,77.1,100
39,59412,57.6,15,3,22.8,75
38,56030,54.2,6,8,92.2,86
37,17509,41.8,21,8,59.3,91
32,68653,5.8,28,17,38.0,95
40,36929,16.4,10,11,50.2,65
45,48291,19.2,23,9,60.5,88
33,4042,45.8,0,10,56.0,66
22,62574,48.1,25,6,48.6,93
38,37201,23.1,28,8,50.5,94
32,92282,25.1,26,5,17.6,64
34,14016,2.7,6,18,81.3,78
35,25022,17.3,11,15,54.2,72
22,27938,27.1,6,14,13.1,64
30,43678,7.0,26,6,76.6,71
36,61720,27.2,22,15,93.2,100
47,56805,51.2,6,4,94.7,71
30,74323,34.9,9,15,36.9,74
35,1986,4.7,29,0,13.6,48
31,76478,11.5,15,18,51.8,98
47,82994,28.5,25,4,11.3,71
21,12161,21.7,7,6,93.4,56
21,20689,21.5,8,18,18.4,68
37,94699,31.8,8,4,25.3,46
37,60924,35.1,1,16,40.7,85
36,99273,47.8,12,7,38.3,70
30,74308,20.5,12,0,79.5,49
29,63745,48.3,22,1,45.6,85
24,1211,20.3,22,14,17.1,86
42,229,3.3,3,19,26.7,67
29,48542,33.3,24,17,50.9,100
38,14345,35.3,23,10,14.7,84
21,31819,56.1,11,9,61.2,97
44,47779,43.6,16,3,56.6,73
19,82421,55.1,1,4,71.5,71
19,92244,54.5,12,3,93.8,88
22,65584,36.3,28,12,91.2,100
40,19950,31.7,17,12,94.6,100
27,15173,33.4,27,17,24.5,100
49,58032,58.7,27,1,13.2,85
27,99273,46.4,26,15,30.2,100
26,28036,6.4,14,0,89.5,42
30,71356,46.7,7,18,97.2,100
24,14292,10.2,14,8,85.9,65
22,3052,26.8,0,2,11.0,21
43,44377,12.6,19,6,94.7,77
27,89317,41.4,9,9,42.3,66
27,67838,52.6,11,0,0.9,53
23,67819,17.4,4,9,44.2,45
44,15620,4.9,8,8,4.6,29
45,30461,17.9,22,14,54.4,95
49,20750,40.3,7,14,33.9,84
36,98426,19.7,15,2,47.3,63
38,88719,16.7,13,4,61.3,60
25,9472,11.1,26,8,86.9,99
18,69263,29.9,24,8,66.2,87
45,57602,16.6,12,6,43.4,66
34,25523,43.9,22,11,81.9,100
24,30766,4.6,20,8,90.6,77
31,66060,39.8,12,5,12.0,60
38,9079,14.3,4,1,53.2,24
47,8399,29.4,15,8,28.5,64
38,60726,17.2,25,16,4.7,83
34,92906,43.4,10,0,66.9,59
26,16532,56.7,21,18,86.3,100
34,82357,55.0,4,5,16.3,56
22,43162,35.0,12,4,81.2,71
43,3749,27.8,27,1,85.3,70
42,11353,49.1,10,8,91.4,94
47,28477,41.0,24,13,26.5,100
48,24570,11.0,18,3,90.4,59
37,86373,49.3,2,3,32.1,49
46,11437,25.7,14,14,55.2,88
25,38104,11.3,6,7,5.1,39
23,63370,16.9,6,3,4.4,24
28,4551,16.1,5,15,72.0,71
48,68359,31.2,2,3,44.4,40
36,54880,14.1,29,15,25.6,100
21,12916,7.4,12,11,19.0,60
35,80703,7.4,6,15,67.0,70
18,41445,35.0,4,18,0.0,77
30,47636,44.1,22,7,80.6,89
31,73927,19.3,17,5,7.9,55
41,78194,2.1,21,9,19.1,55
18,29685,7.6,29,4,38.6,78
47,51134,54.9,7,17,48.5,95
46,88916,29.6,16,9,35.5,70
28,94455,27.2,19,9,32.1,79
34,67847,2.3,26,6,96.4,87
21,39993,43.7,0,17,64.2,85
43,44333,31.7,13,0,2.3,41
29,58865,12.1,16,6,43.0,61
27,79096,6.6,9,0,87.5,45
48,49756,23.0,11,14,30.1,72
23,61192,50.2,15,3,9.5,65
42,60686,51.9,13,19,75.8,100
18,48733,36.2,29,9,60.6,99
24,25993,43.7,26,8,57.0,98
43,30492,6.9,15,1,5.4,30
44,20981,35.3,7,13,14.0,63
38,24143,40.0,22,15,62.3,100
45,77603,12.0,27,0,20.8,59
48,89452,52.8,9,1,50.4,51
33,60277,11.7,28,6,54.5,78
41,49990,18.8,16,9,28.4,70
31,62888,37.2,26,19,94.8,100
40,69351,38.3,29,0,84.2,89
37,97372,42.0,28,12,72.2,100
37,49999,6.7,17,0,7.8,33
23,70309,51.0,19,4,10.6,67
39,12446,32.0,15,15,49.3,95
42,30733,28.3,16,14,16.1,81
