edad,ingreso,gasto_mensual,antiguedad,visitas_mes,score_credito,interacciones,tasa_uso,riesgo
67,86690,45770,14.2,1,588,36,99.4,alto
57,24499,37320,20.0,2,561,46,66.2,alto
21,26295,43304,5.2,13,515,36,55.8,alto
19,140885,8913,5.8,13,446,11,73.1,medio
79,146071,22450,1.2,10,635,36,46.5,medio
23,79040,29107,5.1,15,467,48,6.0,medio
71,32183,25764,8.4,3,391,48,56.2,alto
59,49299,48404,5.3,19,652,43,95.8,alto
21,32874,25491,2.7,4,662,27,17.5,bajo
71,136336,43494,3.6,13,644,46,69.0,alto
46,52711,8373,13.8,15,469,14,20.1,medio
35,25539,17161,6.2,17,655,5,53.6,bajo
43,127941,36996,10.9,6,490,43,9.7,alto
61,73351,32122,15.1,9,721,19,45.0,bajo
51,81267,39850,20.7,6,306,49,75.6,alto
27,143133,32350,1.2,0,432,13,34.8,medio
79,68354,32472,24.0,18,330,1,66.5,alto
53,146063,33761,18.8,15,834,8,79.5,bajo
31,22557,30351,2.5,18,725,36,92.7,bajo
48,58360,28132,26.2,3,693,19,23.5,bajo
65,102018,20305,27.6,17,662,25,39.9,bajo
32,22200,14817,1.8,1,736,28,15.2,medio
25,132476,16261,8.3,0,381,0,99.2,alto
31,88497,5417,24.2,14,655,34,92.7,bajo
40,66975,46576,22.4,4,557,5,54.0,alto
77,41357,25358,5.5,19,823,36,84.2,medio
74,139121,8267,6.3,10,594,4,52.1,bajo
79,97505,22209,11.1,9,523,32,62.4,alto
57,22869,29052,14.5,1,824,48,8.9,bajo
38,146114,43513,18.5,2,345,13,75.5,alto
33,81135,31092,11.1,11,412,11,12.8,alto
62,70108,16338,13.9,19,532,41,82.6,bajo
35,132296,5412,22.4,4,316,19,78.2,medio
64,114179,12543,1.1,4,659,49,70.9,bajo
70,110272,45355,7.6,5,522,23,3.6,alto
41,58467,38496,21.4,8,747,42,30.3,bajo
43,43328,28548,26.9,1,664,33,26.3,medio
42,139181,32384,15.4,11,625,24,36.0,medio
77,111412,49425,16.0,2,766,49,8.8,bajo
77,106831,43756,3.2,19,713,28,93.7,medio
77,23987,23888,13.4,11,754,38,55.4,bajo
62,78871,40735,16.0,16,532,30,30.6,medio
58,42399,22506,7.3,9,523,46,39.7,alto
46,148391,25463,8.1,13,711,42,44.7,bajo
32,66214,22955,11.3,16,634,49,60.1,bajo
62,119522,42841,0.6,17,521,22,51.6,medio
18,106416,10104,9.7,18,336,43,91.9,alto
42,90271,39911,6.3,16,577,37,49.7,bajo
24,64064,28190,9.8,13,495,19,99.2,alto
26,145615,12357,3.6,8,783,22,85.1,medio
41,90091,37479,26.7,7,541,44,20.9,alto
18,127450,49811,17.8,1,623,15,93.1,alto
61,60818,41208,20.4,12,491,49,11.6,bajo
25,65525,25150,23.7,6,316,41,81.7,alto
41,39830,10644,15.0,8,823,7,38.1,bajo
28,37429,48286,2.6,10,700,49,87.8,alto
68,26893,7914,16.1,13,321,20,86.8,alto
34,136381,26352,17.6,3,773,0,80.6,bajo
25,99909,49912,22.4,12,419,7,79.0,alto
52,67333,19397,12.9,1,509,28,30.5,medio
52,23436,46555,3.8,4,605,31,8.1,medio
50,94290,5728,8.5,10,569,37,40.3,bajo
76,96213,5698,10.9,5,584,4,17.4,bajo
22,25895,44954,19.4,17,526,46,69.5,medio
59,39738,18923,17.1,9,680,21,34.6,medio
56,50746,21779,10.7,3,759,46,97.6,bajo
75,69377,12400,29.6,8,306,33,64.1,alto
58,68404,29466,18.2,5,328,0,82.2,alto
45,74045,41939,7.1,1,332,25,13.3,alto
24,117888,9360,3.1,16,378,42,86.2,bajo
26,149307,40270,4.6,4,758,9,92.3,bajo
25,59790,22101,7.4,5,837,29,48.7,bajo
29,127455,37307,4.8,11,781,49,60.6,bajo
51,25600,10486,5.6,9,729,17,76.5,medio
50,114660,13335,8.6,5,584,16,17.5,bajo
65,113179,26364,5.2,7,815,25,50.3,bajo
72,60764,42259,26.9,1,398,7,39.9,alto
40,94543,28576,2.4,11,696,46,14.6,medio
79,65714,36667,15.7,12,788,39,36.8,bajo
41,76835,16130,12.3,6,338,48,6.8,medio
54,122946,26972,29.5,9,570,11,2.6,medio
52,148191,45419,3.4,12,456,26,13.5,bajo
61,129616,6167,11.9,16,374,7,96.3,alto
57,125983,32192,29.1,13,429,24,55.0,alto
39,93744,6062,26.0,1,383,45,96.6,alto
44,76491,23540,24.5,10,321,3,43.2,medio
52,144123,29244,7.7,0,758,32,31.2,bajo
18,38589,26545,5.1,18,838,0,50.6,bajo
52,63484,26689,20.1,3,681,18,44.0,bajo
54,102989,16174,27.9,18,739,30,10.6,bajo
64,56212,27925,16.7,10,320,15,64.1,alto
31,63525,42497,17.1,7,602,13,21.6,alto
20,67202,14348,8.4,10,383,47,62.0,alto
18,52635,28714,23.1,3,752,4,65.0,bajo
22,83208,43102,5.6,16,686,40,15.2,bajo
43,53828,13924,9.7,6,806,25,6.1,bajo
72,38711,42098,12.8,7,556,27,78.1,alto
31,23420,29394,15.2,2,826,1,46.0,bajo
56,116752,11801,7.3,1,461,49,5.8,bajo
44,20301,42614,3.4,14,462,5,99.5,medio
26,65236,11731,18.3,4,823,8,5.8,bajo
32,135294,28625,8.7,0,570,32,69.5,medio
32,137858,22337,17.4,3,791,40,98.4,alto
43,86235,40307,4.6,14,507,24,23.9,alto
59,74240,12056,14.4,19,838,47,14.2,bajo
77,144019,16516,16.0,18,359,12,12.1,bajo
30,85726,49261,1.6,2,729,8,30.3,medio
68,30492,6542,10.1,19,608,12,10.1,medio
49,135668,26677,4.0,10,819,30,69.2,bajo
56,121279,44081,1.9,16,326,40,6.2,medio
66,26102,32569,29.7,12,498,10,50.9,medio
69,70336,28322,9.7,10,686,3,99.7,medio
78,138015,24065,24.3,1,648,33,81.4,alto
49,105314,22924,7.6,8,835,37,61.5,bajo
21,143007,27556,20.4,1,677,45,30.6,bajo
47,46641,31962,22.8,8,826,3,62.4,medio
54,54584,33295,17.9,8,452,37,52.7,medio
40,52745,18807,14.1,7,505,18,42.6,bajo
56,140542,47348,12.4,16,754,5,13.1,bajo
62,43093,31432,10.5,0,572,33,88.7,alto
32,86105,22749,27.9,10,535,17,45.0,medio
60,123746,46459,24.9,7,820,12,19.5,bajo
46,120199,31256,29.0,9,800,40,36.8,bajo
53,71885,45262,3.7,6,416,22,41.4,alto
30,56631,42080,21.9,2,685,18,82.8,medio
49,131217,6324,28.2,2,643,44,73.4,medio
24,92991,30731,5.4,17,694,10,76.9,medio
76,24014,40909,2.0,4,363,0,1.1,medio
68,31093,28803,22.2,11,371,23,41.6,alto
39,38070,24870,17.2,11,573,6,48.1,alto
45,55777,39578,25.3,18,619,24,1.9,medio
19,76958,11588,4.2,5,637,20,26.0,medio
59,102074,43069,23.9,1,665,14,76.0,medio
62,30729,31790,6.0,11,794,0,13.7,bajo
79,119713,30289,4.9,18,465,11,53.5,medio
74,65017,33178,4.9,4,843,6,21.5,bajo
70,86320,33710,24.4,11,310,14,1.2,alto
23,47751,20485,20.0,16,600,20,24.1,medio
45,126400,49482,15.7,16,401,18,97.6,alto
45,125864,25652,10.8,9,724,28,80.2,medio
61,98069,9748,26.3,16,691,24,96.0,bajo
61,125647,26233,11.8,14,513,32,48.8,bajo
37,125510,14435,24.5,11,387,48,11.0,medio
47,74748,8709,13.2,15,700,31,54.8,medio
79,25801,35355,11.3,18,345,48,45.4,alto
28,39190,18116,13.9,7,762,34,84.4,medio
75,69689,30470,9.0,16,609,43,9.8,bajo
72,124290,47344,22.4,4,385,37,48.8,alto
45,70993,47918,15.1,15,391,25,15.0,alto
42,49592,44298,7.0,5,541,10,32.5,medio
56,30647,47956,27.0,7,301,34,73.7,alto
79,28716,19683,11.5,17,524,7,47.6,medio
50,108891,5504,16.3,11,415,45,37.6,alto
18,107545,38982,27.2,14,402,13,39.4,alto
74,137638,39299,18.7,8,493,9,45.9,medio
44,109912,33016,3.5,12,465,1,78.5,medio
79,130627,28960,28.2,14,389,45,89.2,alto
74,90316,38591,18.8,9,421,8,95.5,alto
69,146995,22312,10.0,15,442,2,78.7,alto
30,22368,42797,4.2,6,405,20,31.5,alto
58,97575,7105,23.8,16,727,25,68.8,bajo
20,26655,41395,18.6,6,604,7,43.8,medio
56,126477,27700,16.0,13,616,47,25.5,bajo
23,90031,39620,26.8,14,308,1,84.1,alto
25,96429,42678,23.7,6,372,5,3.8,alto
44,111083,25559,4.6,8,658,27,90.2,bajo
26,107922,32509,9.4,18,522,28,46.1,medio
79,75766,32860,7.5,15,715,25,63.7,bajo
54,144046,16003,22.3,7,669,24,65.9,bajo
50,33403,26732,1.0,17,563,11,89.5,alto
68,52097,30826,17.1,17,617,4,63.7,medio
59,98657,35354,22.9,19,383,33,61.4,medio
61,140607,18843,26.3,6,617,47,6.7,medio
41,30966,49472,10.3,2,410,36,51.8,alto
32,144862,11190,24.6,17,550,14,15.0,bajo
76,119157,22640,3.3,9,682,43,73.7,alto
71,138834,43413,25.4,6,306,35,51.2,alto
49,113848,47356,3.8,16,758,14,68.0,bajo
49,72921,49597,11.9,13,383,42,4.2,bajo
41,69726,45821,23.9,2,507,47,8.5,medio
58,146141,8330,4.5,11,689,22,71.6,medio
69,70300,24087,6.9,12,613,5,7.2,bajo
66,42677,46430,21.7,1,321,45,7.1,medio
79,75609,29504,21.6,2,709,49,1.2,bajo
66,116825,12114,19.2,4,814,43,95.7,medio
75,76661,18323,20.8,10,426,42,73.8,alto
69,51024,39121,16.3,7,313,44,35.3,alto
29,128211,15975,7.6,11,311,20,29.7,medio
79,90313,16023,10.4,6,386,22,35.0,medio
56,147813,26447,5.4,14,823,42,77.5,bajo
19,73006,29933,27.3,16,836,15,66.1,bajo
20,115285,28959,17.5,3,600,46,18.5,medio
66,35338,5667,12.0,12,542,14,17.4,medio
54,88027,34703,13.9,17,421,24,9.8,bajo
66,112772,14337,28.4,0,446,35,66.0,alto
73,133632,41487,4.6,15,655,10,76.4,medio
34,100135,24129,17.6,12,608,14,26.5,medio
76,39508,45251,15.2,9,587,3,2.1,medio
66,140379,36921,18.3,11,606,20,8.2,medio
19,23051,38307,0.5,1,848,12,96.8,medio
19,68747,32355,26.2,2,651,21,29.5,bajo
45,134692,42732,28.0,9,611,18,76.9,alto
71,107142,9835,17.0,1,358,33,62.5,medio
40,107235,25159,20.9,12,334,13,38.2,alto
54,74021,43810,27.7,12,744,3,20.6,medio
49,86412,45080,21.2,17,392,47,12.1,medio
50,78335,43088,4.6,2,506,45,61.5,alto
18,76179,18216,17.3,6,652,26,77.5,alto
36,52093,40547,18.2,13,631,28,64.4,alto
79,89678,36471,12.7,19,458,46,53.0,bajo
19,100738,22308,22.1,16,323,27,4.2,medio
70,59734,32532,28.0,11,703,34,96.8,alto
61,92615,39349,27.8,15,815,7,79.9,bajo
43,93523,10713,13.5,11,663,15,29.3,bajo
49,125103,9804,3.4,14,681,41,98.0,medio
